No.;Type;E(HOMO);E(LUMO);He8_steric;PA;Q(B);BE(B);P-B;DP-A(B);DA-P-A(B);Q(Au);BE(Au);Au-Cl;Au-P;DP-A(Au);DA-P-A(Au);Q(Pd);BE(Pd);Pd-Cl trans;P-Pd;DP-A(Pd);DA-P-A(Pd);Q(Pt);BE(Pt);P-Pt;DP-A(Pt);DA-P-A(Pt);<(H3P)Pt(PH3);S4';PC1;PC2;PC3;PC4
1;R;-0.24636;-0.00029;2.3;190.6;-0.59;26.1;1.941;-0.013;6.3;-0.242;58.4;2.288;2.257;-0.014;6.6;-1.26;29.1;2.357;2.244;-0.008;5.4;-0.014;8.8;2.328;-0.001;1.5;109.4;66.9;-3.078;0.798;6.079;-1.066
2;R;-0.19045;0.03268;3.0;233.0;-0.68;39.2;1.926;-0.028;4.6;-0.314;72.42;2.309;2.272;-0.026;5.0;-1.33;38.5;2.378;2.268;-0.021;3.4;-0.061;12.9;2.331;-0.01;1.3;107.5;39.4;1.602;3.976;1.536;0.09
3;R;-0.27742;-0.05837;3.0;182.3;-0.56;26.3;1.915;-0.002;3.4;-0.176;57.39;2.281;2.241;0.006;3.0;-1.12;32.3;2.343;2.244;0.023;-0.3;0.137;22.8;2.25;0.008;-0.1;109.0;52.2;-7.226;-3.302;2.929;2.032
4;R;-0.2662;-0.1127;20.66;194.04;-0.538;22.51;1.924;-0.005;2.1;-0.123;55.02;2.288;2.254;0.004;2.2;-1.017;16.38;2.342;2.318;0.045;-1.6;0.269;16.58;2.26;0.046;-2.4;106.6;28.7;-6.715;-9.291;1.348;-0.823
5;R;-0.18723;0.02584;6.0;239.1;-0.68;39.0;1.934;-0.027;4.8;-0.321;74.62;2.318;2.28;-0.025;5.3;-1.3;37.0;2.378;2.289;-0.013;2.5;-0.065;17.1;2.338;-0.01;1.6;107.4;39.0;2.28;3.408;1.584;0.168
6;R;-0.2721;-0.0707;9.92;188.82;-0.555;24.35;1.924;0.003;2.7;-0.163;57.65;2.286;2.246;0.009;2.7;-1.092;27.71;2.34;2.269;0.03;-1.9;0.154;20.39;2.263;0.021;-1.3;108.1;39.9;-6.589;-5.686;2.041;1.59
7;R;-0.2343;-0.0164;7.46;211.79;-0.618;32.02;1.923;-0.024;3.4;-0.234;64.39;2.298;2.261;-0.023;3.8;-1.212;40.13;2.353;2.266;-0.015;3.2;0.035;16.55;2.303;0.0;-0.3;108.3;38.4;-2.816;0.659;1.77;0.043
8;R;-0.2129;-0.0838;11.62;206.82;-0.587;25.07;1.976;0.011;0.7;-0.243;59.31;2.303;2.277;0.033;-0.3;-1.206;30.88;2.362;2.281;0.024;-5.5;0.084;13.95;2.351;-0.004;1.1;110.8;26.9;-2.012;-6.068;0.464;5.497
9;R;-0.18767;0.0253;6.1;241.9;-0.68;39.2;1.934;-0.029;5.1;-0.323;74.98;2.318;2.279;-0.026;5.4;-1.3;37.3;2.377;2.288;-0.014;2.5;-0.063;16.6;2.342;-0.012;1.9;107.3;39.2;2.363;3.633;1.753;0.003
10;R;-0.1795;0.0241;12.18;244.6;-0.69;38.6;1.941;-0.024;4.0;-0.322;74.56;2.32;2.284;-0.02;4.7;-1.27;37.17;2.381;2.317;-0.014;2.4;-0.056;14.4;2.367;-0.001;0.1;106.7;28.4;3.214;1.969;0.594;-0.033
11;R;-0.2296;-0.041;9.14;220.18;-0.645;33.85;1.927;-0.023;6.2;-0.277;67.04;2.302;2.273;-0.024;6.5;-1.222;42.41;2.358;2.284;-0.019;5.0;0.004;15.44;2.329;-0.005;2.3;106.3;28.4;-0.464;2.319;4.443;-1.232
12;R;-0.1989;0.0144;6.05;236.71;-0.686;39.18;1.932;-0.028;5.0;-0.32;73.94;2.318;2.281;-0.027;5.3;-1.286;43.52;2.372;2.289;-0.016;2.8;-0.054;17.05;2.339;-0.01;1.4;107.2;38.0;1.82;3.701;1.708;0.18
13;R;-0.18653;0.02738;6.1;243.3;-0.68;39.1;1.934;-0.026;4.7;-0.324;75.18;2.32;2.281;-0.024;5.2;-1.3;37.2;2.377;2.287;-0.011;2.2;-0.062;16.7;2.342;-0.01;1.6;107.4;40.2;2.431;3.277;1.456;0.297
14;R;-0.185;0.023;19.13;241.73;-0.682;34.31;1.939;-0.023;6.6;-0.313;69.85;2.319;2.281;-0.02;7.0;-1.305;35.63;2.378;2.288;-0.018;5.5;-0.053;9.06;2.358;-0.005;2.4;106.0;32.7;3.25;2.921;3.992;-1.993
15;R;-0.175;0.0235;37.82;247.52;-0.68;35.31;1.95;-0.019;2.5;-0.305;73.28;2.324;2.293;-0.017;3.0;-1.257;30.03;2.379;2.337;0.004;1.2;-0.056;11.65;2.372;-0.002;1.1;107.2;27.2;3.974;-0.843;-0.153;-0.008
16;R;-0.17267;0.02754;23.38;250.8;-0.69;39.6;1.958;-0.018;2.3;-0.319;81.87;2.328;2.3;-0.011;2.6;-1.2;23.9;2.382;2.418;0.016;-0.9;-0.044;9.8;2.39;0.017;-0.8;105.4;7.4;5.544;-2.692;-1.676;0.102
